COUNTY NAME,COUNTY CODE,BLACK MALE,BLACK FEMALE,BLACK UNKNOWN,WHITE MALE,WHITE FEMALE,WHITE UNKNOWN,ASIA-PI MALE,ASIA-PI FEMALE,ASIA-PI UNKNOWN,HISP-LT MALE,HISP-LT FEMALE,HISP-LT UNKNOWN,NATIVE-AM MALE,NATIVE-AM FEMALE,NATIVE-AM UNKNOWN,OTHER MALE,OTHER FEMALE,OTHER UNKNOWN,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS
JOHNSON,83,335,656,0,1254,1410,0,6,3,0,0,0,0,0,1,0,2,0,0,14,22,0,3703
JONES,84,1193,1901,0,4380,4973,5,12,33,1,16,30,0,4,6,0,12,11,1,43,63,2,12686
LAMAR,85,647,1089,0,2564,2938,0,10,9,0,8,17,0,0,1,0,15,17,0,174,188,2,7679
LANIER,86,211,368,0,975,1131,0,5,9,0,9,13,0,0,3,0,4,8,0,78,96,1,2911
LAURENS,87,1989,3750,1,6136,7090,5,53,55,1,35,50,0,5,4,0,20,24,0,225,295,2,19740
LEE,88,874,1455,2,5210,5985,2,45,68,0,37,61,0,2,4,0,33,35,2,257,267,3,14342
LIBERTY,89,2976,4839,4,2997,3403,4,68,135,1,267,390,0,6,14,0,77,128,0,458,584,5,16356
LINCOLN,90,397,668,0,1391,1474,1,3,7,0,3,5,0,2,3,0,4,4,0,95,93,0,4150
LONG,91,380,595,1,1258,1401,0,11,21,0,53,72,0,4,5,0,16,21,0,148,166,1,4153
LOWNDES,92,3826,7457,4,11204,13048,8,120,179,0,195,270,0,14,16,0,132,221,0,636,721,9,38060
LUMPKIN,93,32,46,0,5459,6185,4,16,23,0,44,68,1,12,18,0,20,24,0,313,322,7,12594
MACON,94,907,1623,0,805,878,0,15,11,0,5,12,0,0,0,0,5,3,0,28,43,1,4336
MADISON,95,299,558,0,4932,5507,9,18,30,0,38,58,0,2,3,0,25,27,0,297,329,3,12135
MARION,96,368,619,0,897,985,1,6,9,0,17,17,0,1,3,0,10,2,0,34,34,0,3003
MCDUFFIE,97,1088,2192,0,2643,3146,1,7,13,0,12,27,1,1,2,0,8,11,0,133,126,2,9413
MCINTOSH,98,705,1077,1,1893,2019,0,5,7,0,8,13,0,1,1,0,7,9,0,115,106,0,5967
MERIWETHER,99,1149,2041,0,2692,2992,2,10,7,0,8,18,0,1,3,0,9,20,0,140,213,0,9305
MILLER,100,156,355,0,934,1068,0,0,1,0,2,2,0,1,2,0,1,2,0,20,20,0,2564
MITCHELL,101,1055,2133,0,2068,2433,3,7,14,0,17,15,0,0,1,0,8,8,0,81,104,0,7947
MONROE,102,884,1505,1,4600,5094,3,18,28,0,22,31,0,2,1,0,34,25,0,290,295,12,12845
MONTGOMERY,103,276,427,1,1311,1494,2,2,4,0,11,10,0,2,0,0,2,3,0,27,22,0,3594
MORGAN,104,606,1105,0,3546,3949,2,9,20,0,24,36,0,3,1,0,5,17,0,134,130,0,9587
MURRAY,105,14,20,0,5292,5989,6,5,8,0,184,230,0,1,3,0,25,19,0,402,393,2,12593
MUSCOGEE,106,10862,20217,4,14566,18131,16,339,485,1,581,778,2,21,28,1,274,431,1,1235,1634,20,69627
NEWTON,107,6443,11857,2,10583,12402,1,85,99,0,207,304,0,19,15,0,82,146,0,988,1192,15,44440
OCONEE,108,264,435,1,8293,9388,8,128,167,0,100,129,2,3,4,0,52,56,0,696,752,17,20495
OGLETHORPE,109,321,526,0,2606,2898,3,1,9,0,19,21,0,3,3,0,10,18,0,156,165,2,6761
PAULDING,110,3907,6513,7,22165,25586,25,109,189,0,540,740,1,8,20,0,242,312,1,2446,2850,23,65684
PEACH,111,1661,2756,0,2781,3082,3,12,21,0,70,114,0,8,5,0,23,22,0,136,175,4,10873
PICKENS,112,38,45,0,6332,7132,0,19,17,0,35,71,0,8,9,0,12,17,0,244,188,0,14167
PIERCE,113,174,307,0,2983,3507,2,6,9,1,15,19,0,5,2,1,10,8,0,168,194,2,7413
PIKE,114,297,426,0,3565,3960,0,6,14,0,11,21,0,2,3,0,11,19,0,240,228,1,8804
POLK,115,480,897,2,5681,6465,4,8,19,0,90,120,0,1,2,0,27,23,1,238,296,2,14356
PULASKI,116,290,559,0,1275,1408,0,5,4,0,9,7,0,0,0,0,4,6,0,21,39,0,3627
PUTNAM,117,663,1213,2,3412,3846,4,9,18,0,31,38,0,3,0,0,14,8,0,159,177,2,9599
QUITMAN,118,166,282,0,289,295,0,1,1,0,1,2,0,1,1,0,0,1,0,9,13,0,1062
RABUN,119,14,13,0,3572,4100,3,8,10,0,31,27,0,1,2,0,12,9,0,152,168,1,8123
RANDOLPH,120,516,1003,1,639,680,0,1,2,0,2,1,0,0,1,0,1,5,0,10,33,0,2895
RICHMOND,121,14489,25844,162,12692,15276,44,209,346,3,315,453,4,24,19,0,270,463,9,2386,3364,216,76588
ROCKDALE,122,7045,11759,11,6845,7908,6,150,188,0,262,384,1,8,9,0,143,269,0,1462,1860,15,38325
SCHLEY,123,113,231,0,736,805,1,2,5,0,7,5,0,0,0,0,2,1,0,8,19,0,1935
SCREVEN,124,697,1294,0,1665,1951,2,5,9,0,3,8,0,0,1,0,6,4,0,61,63,0,5769
SEMINOLE,125,325,625,0,1230,1345,1,4,3,0,6,9,0,0,1,0,4,8,0,29,43,0,3633
SPALDING,126,2367,4756,2,8068,9370,7,38,73,0,88,146,0,7,3,1,50,61,2,437,512,9,25997
